,predict_original_data
1314,829.0813889150143
1315,829.2270110304835
1316,829.3483494616361
1317,829.4890984387004
1318,829.6743680231098
1319,830.1677698020281
1320,831.3548174648007
1321,833.1332570094138
1322,835.0599414818141
1323,837.5770799227416
1324,839.9854198841957
1325,842.1568578683598
1326,843.8869798846528
1327,844.7811004918825
1328,845.0490791231335
1329,845.0419698519294
1330,844.4692299614007
1331,843.8750668711473
1332,843.3369186601226
1333,842.8023724522078
1334,842.1964529712599
1335,841.9122614034475
1336,841.507250847309
1337,841.147858324355
1338,840.6317193520244
1339,840.1718727130899
1340,839.5706638211037
1341,838.9386927842305
1342,838.4097630056822
1343,837.7120733170506
1344,836.9677185495915
1345,836.3295079483329
1346,835.619205378099
1347,835.0093083042196
1348,834.494800369999
1349,833.9057879772399
1350,833.4909125255058
1351,833.0841596706045
1352,832.8168620125874
1353,832.6328199581709
1354,832.487250828636
1355,832.2783854012305
1356,832.020283602989
1357,831.8154532680292
1358,831.5434022456584
1359,831.3211082391431
1360,831.0666552444602
1361,830.646941720093
1362,830.3956982904735
1363,830.0858810886408
1364,829.8604966012663
1365,829.5863185130722
1366,829.3115066989213
1367,828.9482390122581
1368,828.6457223538472
